,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Month,Year,Total.People
73173,20130101X94035,Accident,WPR13CA079,2013-01-01,"Chiloquin, OR",United States,423428N,1215226W,2S7,Chiloquin State Airport,Non-Fatal,Substantial,Airplane,N58677,CESSNA,182P,No,1.0,Reciprocating,091,,Commercial,Pacific Aviation Northwest Inc,0.0,0.0,0.0,2.0,VMC,,The flight instructors failure to maintain airplane control during a landing on a snow-covered runway.,25-09-2020,1.0,2013.0,2.0
73174,20130102X03247,Accident,WPR13LA082,2013-01-02,"North Las Vegas, NV",United States,361238N,1151140W,VGT,North Las Vegas,Non-Fatal,Substantial,Airplane,N3AG,PIPER,PA-60-602P,No,2.0,Reciprocating,091,,Commercial,Managed Aviation Inc,0.0,0.0,0.0,2.0,VMC,,"The pilots failure to maintain an adequate descent rate while on final approach, which resulted in a hard landing and landing gear collapse due to overload following the failure of both engines to respond to power inputs during an attempted go-around for reasons that could not be determined due to postcrash fire damage. ",25-09-2020,1.0,2013.0,2.0
73191,20130107X01002,Accident,CEN13WA126,2013-01-05,"Saint Pierre de Bressieux, France",France,,,,,Fatal,Substantial,Airplane,CN-DAY,PIPER,PA34,No,2.0,,NUSN,,Commercial,ON FILE,5.0,0.0,0.0,0.0,,,,03-11-2020,1.0,2013.0,5.0
73194,20130107X32320,Incident,DCA13IA037,2013-01-07,"Boston, MA",United States,422147N,0071023W,BOS,Gen Edward Lawrence Logan Intl,,Minor,Airplane,JA829J,BOEING,787,No,,,129,SCHD,Commercial,JAPAN AIRLINES INTERNATIONAL CO LTD,0.0,0.0,0.0,0.0,VMC,,"an internal short circuit within a cell of the auxiliary power unit (APU) lithium-ion battery, which led to thermal runaway that cascaded to adjacent cells, resulting in the release of smoke and fire. The incident resulted from Boeing's failure to incorporate design requirements to mitigate the most severe effects of an internal short circuit within an APU battery cell and the Federal Aviation Administration's failure to identify this design deficiency during the type design certification process.",14-06-2021,1.0,2013.0,0.0
73203,20130111X25405,Accident,CEN13FA130,2013-01-11,"Maxwell, NE",United States,041126N,1002813W,LBF,NORTH PLATTE RGNL AIRPORT,Fatal,Destroyed,Airplane,N36VE,RAYTHEON AIRCRAFT COMPANY,58,No,2.0,Reciprocating,091,,Commercial,BOTTORFF CONSTRUCTION INC,4.0,0.0,0.0,0.0,IMC,,"The pilots inadvertent encounter with severe icing conditions, which resulted in structural icing and the subsequent loss of airplane control.",25-09-2020,1.0,2013.0,4.0
73204,20130111X94242,Accident,CEN13CA129,2013-01-11,"Alexandria, MN",United States,455145N,0095240W,AXN,Alexindria Municipal Airport,Non-Fatal,Substantial,Airplane,N110BA,BEECH,65-B80,No,2.0,Reciprocating,135,NSCH,Commercial,BEMIDJI AVIATION SERVICES INC,0.0,0.0,0.0,1.0,IMC,,"The pilots failure to stop the airplane on the downsloping, ice-contaminated runway after landing with a tailwind. Contributing to the accident was the pilots failure to account for the wind conditions and failure to obtain runway conditions.",25-09-2020,1.0,2013.0,1.0
73207,20130211X93016,Incident,CEN13WA154,2013-01-11,"Schwechat, Austria",Austria,004861N,0163411E,LOWW,Vienna International,Non-Fatal,,Airplane,N391CC,PIPER,PA46,No,,Turbo Prop,NUSC,NSCH,Commercial,Wings Management Company,0.0,0.0,0.0,1.0,,,,03-11-2020,1.0,2013.0,1.0
73208,20130112X22759,Accident,CEN13FA131,2013-01-12,"Paris, TX",United States,333945N,0953252W,,,Fatal,Destroyed,Airplane,N5339V,PIPER,PA46-500TP,No,1.0,Turbo Prop,091,,Commercial,Celtic Bank Special Assets,3.0,0.0,0.0,0.0,IMC,,"The pilot's encounter with convective weather, which resulted in a loss of airplane control.",25-09-2020,1.0,2013.0,3.0
73210,20130113X42535,Accident,ERA13LA110,2013-01-12,"Winder, GA",United States,335858N,0083403W,WDR,Barrow County,Non-Fatal,Substantial,Airplane,N3898T,PIPER,PA-28R-180,No,1.0,Reciprocating,091,,Commercial,FLIGHT SCHOOL OF GWINNETT,0.0,0.0,0.0,3.0,VMC,,A total loss of engine power due to a cracked fuel pump line fitting O-ring seal at the inlet to the enginedriven fuel pump. Contributing to the accident was the failure of the aircraft operator to comply with the engine manufacturers recommended time interval for overhaul.,25-09-2020,1.0,2013.0,3.0
73213,20130114X25958,Incident,ERA13IA114,2013-01-13,"Debary, FL",United States,285259N,0811831W,,,Non-Fatal,,Airplane,N662QS,CESSNA,560XL,No,2.0,Turbo Fan,091K,NSCH,Commercial,"NetJets Aviation, Inc.",0.0,0.0,0.0,4.0,VMC,,"An accumulation of debris in the airplanes bilge drain holes that prevented accumulated moisture from properly draining; the accumulated moisture subsequently froze around the elevator control components, which resulted in the flight control stiffness. Contributing to the accident was maintenance personnels improper installation of seals in the airplanes tailcone, which allowed water to enter the tailcone.",25-09-2020,1.0,2013.0,4.0
73216,20130116X93016,Incident,DCA13RA038,2013-01-15,"Takamatsu, Japan",Japan,,,,Takamatsu,Non-Fatal,Minor,Airplane,JA804A,BOEING,787,No,2.0,,129,SCHD,Commercial,All Nippon Airways,0.0,4.0,0.0,133.0,,,,03-11-2020,1.0,2013.0,137.0
73218,20130116X83524,Accident,ERA13FA115,2013-01-16,"Burlington, NC",United States,036649N,0792514W,BUY,Burlington-Alamance Regional,Fatal,Substantial,Airplane,N68PK,PILATUS,PC-12/45,No,1.0,Turbo Prop,091,,Commercial,LABORATORY CORPORATION OF AMERICA HOLDINGS,1.0,0.0,0.0,0.0,IMC,,The pilot's failure to maintain airplane control due to spatial disorientation during the initial climb after takeoff in night instrument flight rules conditions.,25-09-2020,1.0,2013.0,1.0
73219,20130116X44104,Accident,CEN13FA135,2013-01-16,"Pellston, MI",United States,453348N,0844934W,PLN,PELLSTON RGNL AIRPORT OF EMMET,Fatal,Destroyed,Airplane,N1120N,CESSNA,208B,No,1.0,Turbo Prop,135,NSCH,Commercial,"Martinaire Aviation, L.L.C.",1.0,0.0,0.0,0.0,VMC,,The pilot's inadvertent controlled descent into terrain due to spatial disorientation. Contributing to the accident was lack of visual reference due to night conditions.,25-09-2020,1.0,2013.0,1.0
