,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Month,Year,Total.People
73176,20130102X72037,Accident,ERA13FA101,2013-01-02,"Jasper, AL",United States,335310N,0087190W,JFX,Walker County Airport,Fatal,Destroyed,Airplane,N7700Y,PIPER,PA-30,No,2.0,Reciprocating,091,,Personal,,3.0,0.0,0.0,0.0,IMC,,"The student pilots poor judgment to take a multiengine airplane for which he did not have experience or permission to operate and depart into night instrument meteorological conditions, which resulted in a loss of airplane control and impact with terrain.
",25-09-2020,1.0,2013.0,3.0
73180,20130111X91754,Accident,CEN13LA127,2013-01-02,"Elkhart, IN",United States,413925N,0008625W,3C1,Mishawaka Pilots Club Airport,Non-Fatal,Substantial,Airplane,N707HL,LUSCOMBE,8,No,1.0,Reciprocating,091,,Personal,Pilot,0.0,0.0,0.0,2.0,VMC,,"The pilots improper flare, which resulted in a bounced landing.",25-09-2020,1.0,2013.0,2.0
73181,20130102X04956,Accident,WPR13FA083,2013-01-03,"Oceano, CA",United States,035358N,0120376W,L52,Oceano County Airport,Fatal,Substantial,Airplane,N45923,LUSCOMBE,8A,No,1.0,Reciprocating,091,,Personal,GLEN P RAY,1.0,0.0,0.0,0.0,VMC,,The pilots failure to maintain airplane control and his improper decision to begin a low-level maneuver at an altitude that was not sufficient for recovery before ground impact. Contributing to the accident was the pilots impairment from marijuana use.,,1.0,2013.0,1.0
73187,20130104X61334,Accident,ERA13FA105,2013-01-04,"Palm Coast, FL",United States,292732N,0081118W,XFL,Flagler County Airport,Fatal,Destroyed,Airplane,N375B,BEECH,H35,No,1.0,Reciprocating,091,,Personal,,3.0,0.0,0.0,0.0,IMC,,"A total loss of engine power after the failure of the No. 4 connecting rod due to oil starvation, which resulted in a subsequent forced landing. Contributing to the accident was the pilots failure to clearly state that the aircraft had lost all power and the air traffic controllers incomplete understanding of the emergency, which resulted in the controllers vectoring the airplane too far from the airport to reach the runway.",25-09-2020,1.0,2013.0,3.0
73188,20130104X71845,Accident,ANC13CA019,2013-01-04,"Palmer, AK",United States,615419N,1485525W,,,Non-Fatal,Substantial,Airplane,N7780Y,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,KELLER MATTHEW C,0.0,0.0,0.0,1.0,VMC,,"The pilot's selection of unsuitable terrain for an off-airport landing, which resulted in a ground-loop.",25-09-2020,1.0,2013.0,1.0
73190,20130105X35922,Accident,WPR13LA085,2013-01-05,"Julian, CA",United States,003309N,0116435W,,,Non-Fatal,Substantial,Airplane,N262NJ,JEREMIAH JACKSON,Vans RV-10,Yes,1.0,Reciprocating,091,,Personal,J2Environmental LLC,0.0,1.0,0.0,0.0,VMC,,A loss of engine power due to oil starvation as a result of a disconnected oil line. Contributing to the accident was an insufficiently tightened oil line fitting.,25-09-2020,1.0,2013.0,1.0
73192,20130122X82442,Accident,ANC13CA020,2013-01-05,"Skwentna, AK",United States,062310N,0151290W,,,Non-Fatal,Substantial,Airplane,N4538F,CESSNA,A185E,No,1.0,Reciprocating,091,,Personal,William A Barnes,0.0,0.0,0.0,2.0,VMC,,"The pilot's selection of unsuitable terrain for landing, which resulted in a main landing gear collapse.",25-09-2020,1.0,2013.0,2.0
73193,20130107X22046,Accident,WPR13FA086,2013-01-07,"Woody, CA",United States,354237N,1185414W,,,Fatal,Destroyed,Airplane,N35SD,BEECH,V35A,No,1.0,Reciprocating,091,,Personal,FLOYD JOHNSTON CONSTRUCTION CO INC,2.0,0.0,0.0,0.0,VMC,,"An in-flight encounter with icing conditions during descent, which resulted in the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall followed by an in-flight breakup.",25-09-2020,1.0,2013.0,2.0
73196,20130109X40425,Accident,ERA13CA107,2013-01-07,"Bear Branch, KY",United States,371014N,0833455W,,,Non-Fatal,Substantial,Airplane,N216CB,BREWER JAMES M,KR2,Yes,1.0,Reciprocating,091,,Personal,David L. Styer,0.0,0.0,0.0,1.0,VMC,,"The pilots improper preflight planning, which resulted in a total loss of engine power due to fuel exhaustion. Contributing to the fuel exhaustion was the pilots lack of knowledge about the airplanes total fuel capacity and fuel quantity instrumentation.",25-09-2020,1.0,2013.0,1.0
73197,20130114X34552,Accident,CEN13LA132,2013-01-07,"Antlers, OK",United States,341352N,0953715W,,,Non-Fatal,Substantial,Airplane,N222EG,BELLANCA,17-30A,No,1.0,Reciprocating,091,,Personal,"RAM, Inc.",0.0,0.0,0.0,2.0,VMC,,"The pilot's improper fuel management, which resulted in a total loss of engine power due to fuel starvation.",25-09-2020,1.0,2013.0,2.0
